UTC Time;Battery Voltage (V);Engine RPM
0022-03-18T11:22:40;13,5;4403
0022-03-18T11:22:50;13,375;4538
0022-03-18T11:23:00;13,5;4655
0022-03-18T11:23:10;13,375;3793
0022-03-18T11:23:20;13,375;3692
0022-03-18T11:23:30;13,5;3631
0022-03-18T11:23:40;13,4375;3643
0022-03-18T11:23:50;13,4375;3694
0022-03-18T11:24:00;13,375;3586
0022-03-18T11:24:10;13,4375;3746
0022-03-18T11:24:20;13,4375;3802
0022-03-18T11:24:30;13,5;3773
0022-03-18T11:24:40;13,4375;3759
0022-03-18T11:24:50;13,4375;3661
0022-03-18T11:25:00;13,5625;3541
0022-03-18T11:25:10;13,4375;3541
0022-03-18T11:25:20;13,4375;3528
0022-03-18T11:25:30;13,4375;3551
0022-03-18T11:25:40;13,5;3507
0022-03-18T11:25:50;13,375;3562
0022-03-18T11:26:00;13,4375;3583
0022-03-18T11:26:10;13,375;3580
0022-03-18T11:26:20;13,375;3526
0022-03-18T11:26:30;13,4375;3532
0022-03-18T11:26:40;13,4375;3524
0022-03-18T11:26:50;13,375;4295
0022-03-18T11:27:00;13,5625;4393
0022-03-18T11:27:10;13,625;4434
0022-03-18T11:27:20;13,375;4345
0022-03-18T11:27:30;13,375;4441
0022-03-18T11:27:40;13,4375;4177
0022-03-18T11:27:50;13,4375;4149
0022-03-18T11:28:00;13,375;4182
0022-03-18T11:28:10;13,5;4132
0022-03-18T11:28:20;13,5;4120
0022-03-18T11:28:30;13,4375;4084
0022-03-18T11:28:40;13,375;4206
0022-03-18T11:28:50;13,375;4358
0022-03-18T11:29:00;13,375;4446
0022-03-18T11:29:10;13,4375;4354
0022-03-18T11:29:20;13,375;4406
0022-03-18T11:29:30;13,5;4190
0022-03-18T11:29:40;13,5625;4303
0022-03-18T11:29:50;13,4375;4287
0022-03-18T11:30:00;13,4375;4190
0022-03-18T11:30:10;13,375;4350
0022-03-18T11:30:20;13,4375;4402
0022-03-18T11:30:30;13,375;4291
0022-03-18T11:30:40;13,5;4287
0022-03-18T11:30:50;13,375;4241
0022-03-18T11:31:00;13,4375;4161
0022-03-18T11:31:10;13,4375;4072
0022-03-18T11:31:20;13,5;4092
0022-03-18T11:31:30;13,5;3998
0022-03-18T11:31:40;13,5;4062
0022-03-18T11:31:50;13,4375;4076
0022-03-18T11:32:00;13,375;4139
0022-03-18T11:32:10;13,4375;4170
0022-03-18T11:32:20;13,375;4258
0022-03-18T11:32:30;13,4375;4322
0022-03-18T11:32:40;13,4375;4312
0022-03-18T11:32:50;13,5;4371
0022-03-18T11:33:00;13,4375;4426
0022-03-18T11:33:10;13,5;4333
0022-03-18T11:33:20;13,4375;4303
0022-03-18T11:33:30;13,5;4269
0022-03-18T11:33:40;13,5;4174
0022-03-18T11:33:50;13,375;4165
0022-03-18T11:34:00;13,375;4084
0022-03-18T11:34:10;13,375;4013
0022-03-18T11:34:20;13,4375;3975
0022-03-18T11:34:30;13,4375;4088
0022-03-18T11:34:40;13,375;4062
0022-03-18T11:34:50;13,4375;4100
